F7,Counts
ENSDARG00000006025,2
ENSDARG00000006029,0
ENSDARG00000006031,113
ENSDARG00000006038,13
ENSDARG00000006040,0
ENSDARG00000006044,0
ENSDARG00000006052,0
ENSDARG00000006060,35
ENSDARG00000006062,20
ENSDARG00000006065,0
ENSDARG00000006074,4
ENSDARG00000006079,0
ENSDARG00000006092,92
ENSDARG00000006093,0
ENSDARG00000006094,14
ENSDARG00000006109,0
ENSDARG00000006110,0
ENSDARG00000006112,5
ENSDARG00000006120,31
ENSDARG00000006124,33
ENSDARG00000006125,3
ENSDARG00000006128,35
ENSDARG00000006137,0
ENSDARG00000006151,2
ENSDARG00000006169,4
ENSDARG00000006174,0
ENSDARG00000006181,0
ENSDARG00000006192,8
ENSDARG00000006196,2
ENSDARG00000006200,372
ENSDARG00000006202,12
ENSDARG00000006206,0
ENSDARG00000006207,0
ENSDARG00000006215,7
ENSDARG00000006219,9
ENSDARG00000006220,1
ENSDARG00000006225,24
ENSDARG00000006235,11
ENSDARG00000006240,2
ENSDARG00000006242,127
ENSDARG00000006251,4
ENSDARG00000006253,0
ENSDARG00000006257,55
ENSDARG00000006260,156
ENSDARG00000006266,22
ENSDARG00000006272,0
ENSDARG00000006279,1
ENSDARG00000006283,12
ENSDARG00000006288,8
ENSDARG00000006290,9
ENSDARG00000006292,1
ENSDARG00000006299,18
ENSDARG00000006300,13
ENSDARG00000006301,7
ENSDARG00000006307,7
ENSDARG00000006308,0
ENSDARG00000006314,34
ENSDARG00000006316,55
ENSDARG00000006332,8
ENSDARG00000006341,0
ENSDARG00000006345,2
ENSDARG00000006350,0
ENSDARG00000006353,4
ENSDARG00000006356,0
ENSDARG00000006368,0
ENSDARG00000006370,34
ENSDARG00000006372,0
ENSDARG00000006383,9
ENSDARG00000006385,0
ENSDARG00000006389,14
ENSDARG00000006392,12
ENSDARG00000006395,32
ENSDARG00000006396,38
ENSDARG00000006397,9
ENSDARG00000006399,12
ENSDARG00000006408,20
ENSDARG00000006409,0
ENSDARG00000006413,22
ENSDARG00000006420,37
ENSDARG00000006422,5
ENSDARG00000006427,4
ENSDARG00000006434,8
ENSDARG00000006447,0
ENSDARG00000006456,0
ENSDARG00000006467,6
ENSDARG00000006468,1
ENSDARG00000006474,0
ENSDARG00000006477,6
ENSDARG00000006487,16
ENSDARG00000006491,0
ENSDARG00000006494,0
ENSDARG00000006497,31
ENSDARG00000006501,0
ENSDARG00000006508,1
ENSDARG00000006514,2
ENSDARG00000006522,2
ENSDARG00000006524,45
ENSDARG00000006526,53
ENSDARG00000006527,15
ENSDARG00000006544,0
ENSDARG00000006545,4
ENSDARG00000006546,12
ENSDARG00000006553,7
ENSDARG00000006560,0
ENSDARG00000006566,11
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,1
ENSDARG00000006580,0
ENSDARG00000006584,29
ENSDARG00000006585,14
ENSDARG00000006588,2
ENSDARG00000006598,1
ENSDARG00000006600,3
ENSDARG00000006601,12
ENSDARG00000006602,0
ENSDARG00000006603,0
ENSDARG00000006604,6
ENSDARG00000006607,2
ENSDARG00000006609,6
ENSDARG00000006615,2
ENSDARG00000006617,3
ENSDARG00000006621,21
ENSDARG00000006624,4
ENSDARG00000006636,2
ENSDARG00000006639,3
ENSDARG00000006640,7
ENSDARG00000006642,2
