D5,Counts
ENSDARG00000006353,82
ENSDARG00000006356,104
ENSDARG00000006368,21
ENSDARG00000006370,140
ENSDARG00000006372,0
ENSDARG00000006383,108
ENSDARG00000006385,92
ENSDARG00000006389,230
ENSDARG00000006392,57
ENSDARG00000006395,545
ENSDARG00000006396,221
ENSDARG00000006397,314
ENSDARG00000006399,382
ENSDARG00000006408,201
ENSDARG00000006409,18
ENSDARG00000006413,117
ENSDARG00000006420,272
ENSDARG00000006422,80
ENSDARG00000006427,1411
ENSDARG00000006434,48
ENSDARG00000006447,11
ENSDARG00000006456,65
ENSDARG00000006467,27
ENSDARG00000006468,9
ENSDARG00000006474,17
ENSDARG00000006477,153
ENSDARG00000006487,331
ENSDARG00000006491,42
ENSDARG00000006494,105
ENSDARG00000006497,1000
ENSDARG00000006501,0
ENSDARG00000006508,85
ENSDARG00000006514,69
ENSDARG00000006522,22
ENSDARG00000006524,770
ENSDARG00000006526,2760
ENSDARG00000006527,180
ENSDARG00000006544,6
ENSDARG00000006545,113
ENSDARG00000006546,159
ENSDARG00000006553,86
ENSDARG00000006560,0
ENSDARG00000006566,218
ENSDARG00000006567,19
ENSDARG00000006568,10
ENSDARG00000006577,28
ENSDARG00000006580,1
ENSDARG00000006584,309
ENSDARG00000006585,77
ENSDARG00000006588,70
ENSDARG00000006598,12
ENSDARG00000006600,155
ENSDARG00000006601,78
ENSDARG00000006602,7
ENSDARG00000006603,253
ENSDARG00000006604,57
ENSDARG00000006607,15
ENSDARG00000006609,97
ENSDARG00000006615,167
ENSDARG00000006617,96
ENSDARG00000006621,160
ENSDARG00000006624,141
ENSDARG00000006636,70
ENSDARG00000006639,56
ENSDARG00000006640,75
ENSDARG00000006642,44
ENSDARG00000006666,27
ENSDARG00000006672,69
ENSDARG00000006677,102
ENSDARG00000006678,10
