B9,Counts
ENSDARG00000006332,121
ENSDARG00000006341,3
ENSDARG00000006345,83
ENSDARG00000006350,0
ENSDARG00000006353,80
ENSDARG00000006356,61
ENSDARG00000006368,32
ENSDARG00000006370,30
ENSDARG00000006372,0
ENSDARG00000006383,117
ENSDARG00000006385,33
ENSDARG00000006389,145
ENSDARG00000006392,21
ENSDARG00000006395,432
ENSDARG00000006396,293
ENSDARG00000006397,152
ENSDARG00000006399,363
ENSDARG00000006408,95
ENSDARG00000006409,0
ENSDARG00000006413,106
ENSDARG00000006420,280
ENSDARG00000006422,50
ENSDARG00000006427,71
ENSDARG00000006434,9
ENSDARG00000006447,0
ENSDARG00000006456,3
ENSDARG00000006467,57
ENSDARG00000006468,11
ENSDARG00000006474,2
ENSDARG00000006477,122
ENSDARG00000006487,263
ENSDARG00000006491,14
ENSDARG00000006494,49
ENSDARG00000006497,623
ENSDARG00000006501,0
ENSDARG00000006508,51
ENSDARG00000006514,32
ENSDARG00000006522,5
ENSDARG00000006524,540
ENSDARG00000006526,735
ENSDARG00000006527,160
ENSDARG00000006544,11
ENSDARG00000006545,69
ENSDARG00000006546,10
ENSDARG00000006553,22
ENSDARG00000006560,0
ENSDARG00000006566,178
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,8
ENSDARG00000006580,0
ENSDARG00000006584,208
ENSDARG00000006585,75
ENSDARG00000006588,51
ENSDARG00000006598,21
ENSDARG00000006600,82
ENSDARG00000006601,50
ENSDARG00000006602,1
ENSDARG00000006603,73
ENSDARG00000006604,6
ENSDARG00000006607,84
ENSDARG00000006609,19
ENSDARG00000006615,64
ENSDARG00000006617,20
ENSDARG00000006621,131
ENSDARG00000006624,79
ENSDARG00000006636,60
ENSDARG00000006639,13
ENSDARG00000006640,67
ENSDARG00000006642,25
ENSDARG00000006666,0
ENSDARG00000006672,102
ENSDARG00000006677,41
ENSDARG00000006678,7
ENSDARG00000006683,97
ENSDARG00000006691,648
