E11,Counts
ENSDARG00000005827,234
ENSDARG00000005828,9
ENSDARG00000005834,201
ENSDARG00000005840,126
ENSDARG00000005841,130
ENSDARG00000005842,21
ENSDARG00000005853,6
ENSDARG00000005861,552
ENSDARG00000005865,0
ENSDARG00000005867,123
ENSDARG00000005870,81
ENSDARG00000005883,43
ENSDARG00000005891,151
ENSDARG00000005894,29
ENSDARG00000005897,13
ENSDARG00000005908,56
ENSDARG00000005913,5
ENSDARG00000005915,162
ENSDARG00000005916,38
ENSDARG00000005924,262
ENSDARG00000005926,71
ENSDARG00000005927,146
ENSDARG00000005941,235
ENSDARG00000005942,0
ENSDARG00000005943,21
ENSDARG00000005945,111
ENSDARG00000005948,30
ENSDARG00000005972,0
ENSDARG00000005980,82
ENSDARG00000005989,49
ENSDARG00000005993,24
ENSDARG00000006003,81
ENSDARG00000006008,100
ENSDARG00000006010,62
ENSDARG00000006011,13
ENSDARG00000006019,171
ENSDARG00000006025,48
ENSDARG00000006029,36
ENSDARG00000006031,1246
ENSDARG00000006038,70
ENSDARG00000006040,52
ENSDARG00000006044,21
ENSDARG00000006052,12
ENSDARG00000006060,283
ENSDARG00000006062,235
ENSDARG00000006065,31
ENSDARG00000006074,7
ENSDARG00000006079,13
ENSDARG00000006092,759
ENSDARG00000006093,6
ENSDARG00000006094,322
ENSDARG00000006109,0
ENSDARG00000006110,8
ENSDARG00000006112,93
ENSDARG00000006120,139
ENSDARG00000006124,719
ENSDARG00000006125,184
ENSDARG00000006128,297
ENSDARG00000006137,3
ENSDARG00000006151,9
ENSDARG00000006169,107
ENSDARG00000006174,0
ENSDARG00000006181,68
ENSDARG00000006192,75
ENSDARG00000006196,109
ENSDARG00000006200,1213
ENSDARG00000006202,98
ENSDARG00000006206,11
ENSDARG00000006207,1
ENSDARG00000006215,151
ENSDARG00000006219,126
ENSDARG00000006220,233
ENSDARG00000006225,205
ENSDARG00000006235,58
ENSDARG00000006240,113
ENSDARG00000006242,459
ENSDARG00000006251,255
ENSDARG00000006253,48
ENSDARG00000006257,448
ENSDARG00000006260,865
ENSDARG00000006266,196
ENSDARG00000006272,101
ENSDARG00000006279,36
ENSDARG00000006283,142
ENSDARG00000006288,18
ENSDARG00000006290,21
ENSDARG00000006292,3
ENSDARG00000006299,68
ENSDARG00000006300,22
ENSDARG00000006301,114
ENSDARG00000006307,41
ENSDARG00000006308,11
ENSDARG00000006314,323
ENSDARG00000006316,667
ENSDARG00000006332,172
ENSDARG00000006341,5
ENSDARG00000006345,82
ENSDARG00000006350,0
ENSDARG00000006353,69
ENSDARG00000006356,82
ENSDARG00000006368,0
ENSDARG00000006370,47
ENSDARG00000006372,0
ENSDARG00000006383,118
ENSDARG00000006385,37
ENSDARG00000006389,109
ENSDARG00000006392,45
ENSDARG00000006395,295
ENSDARG00000006396,344
ENSDARG00000006397,162
ENSDARG00000006399,231
ENSDARG00000006408,111
ENSDARG00000006409,0
ENSDARG00000006413,135
ENSDARG00000006420,175
ENSDARG00000006422,50
ENSDARG00000006427,492
ENSDARG00000006434,0
ENSDARG00000006447,17
ENSDARG00000006456,13
ENSDARG00000006467,35
ENSDARG00000006468,11
ENSDARG00000006474,0
ENSDARG00000006477,64
ENSDARG00000006487,248
ENSDARG00000006491,0
ENSDARG00000006494,38
ENSDARG00000006497,1065
ENSDARG00000006501,0
ENSDARG00000006508,36
ENSDARG00000006514,60
ENSDARG00000006522,14
ENSDARG00000006524,544
ENSDARG00000006526,1853
ENSDARG00000006527,403
ENSDARG00000006544,3
ENSDARG00000006545,79
ENSDARG00000006546,92
ENSDARG00000006553,33
ENSDARG00000006560,0
ENSDARG00000006566,134
ENSDARG00000006567,1
ENSDARG00000006568,4
ENSDARG00000006577,28
ENSDARG00000006580,0
ENSDARG00000006584,234
ENSDARG00000006585,84
ENSDARG00000006588,91
ENSDARG00000006598,23
ENSDARG00000006600,96
ENSDARG00000006601,69
ENSDARG00000006602,7
ENSDARG00000006603,200
ENSDARG00000006604,51
ENSDARG00000006607,30
ENSDARG00000006609,14
ENSDARG00000006615,80
ENSDARG00000006617,65
ENSDARG00000006621,130
ENSDARG00000006624,87
ENSDARG00000006636,89
ENSDARG00000006639,26
ENSDARG00000006640,62
ENSDARG00000006642,55
ENSDARG00000006666,14
ENSDARG00000006672,23
ENSDARG00000006677,105
ENSDARG00000006678,4
ENSDARG00000006683,58
