C7,Counts
ENSDARG00000006501,0
ENSDARG00000006508,45
ENSDARG00000006514,34
ENSDARG00000006522,4
ENSDARG00000006524,682
ENSDARG00000006526,821
ENSDARG00000006527,197
ENSDARG00000006544,0
ENSDARG00000006545,53
ENSDARG00000006546,144
ENSDARG00000006553,15
ENSDARG00000006560,0
ENSDARG00000006566,217
ENSDARG00000006567,0
ENSDARG00000006568,23
ENSDARG00000006577,8
ENSDARG00000006580,0
ENSDARG00000006584,319
ENSDARG00000006585,195
ENSDARG00000006588,14
ENSDARG00000006598,5
ENSDARG00000006600,117
ENSDARG00000006601,253
ENSDARG00000006602,0
ENSDARG00000006603,68
ENSDARG00000006604,18
ENSDARG00000006607,49
ENSDARG00000006609,100
ENSDARG00000006615,63
ENSDARG00000006617,68
ENSDARG00000006621,187
ENSDARG00000006624,201
ENSDARG00000006636,86
ENSDARG00000006639,24
ENSDARG00000006640,92
ENSDARG00000006642,21
ENSDARG00000006666,43
ENSDARG00000006672,20
ENSDARG00000006677,80
ENSDARG00000006678,4
ENSDARG00000006683,195
