Williams Trend Test
Data Source: no_log_quant_fastbmd_input_P1400_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:07.12
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL	LOTEL
"ENSDARG00000101077"			0.04081632653061224	0.9748910365738108	-1.5682838	1.5682838	-1.3104881	-1.0870541	-1.1721379	-1.1815821	-1.5682838	0.163798	0.55286735	0.3274749	0.24533342	0.028209614			
"ENSDARG00000100315"			0.02127659574468085	0.9748910365738108	-1.5859005	1.5859005	-1.1187674	-1.0827837	1.0007625	-1.1983	-1.5859005	0.31014293	0.344685	0.99358207	0.15363672	0.041695282			
"ENSDARG00000097886"			0.017241379310344827	0.9748910365738108	-1.6795969	1.6795969	-1.304549	-1.0281019	-1.0873078	-1.0788513	-1.6795969	0.10438528	0.8993452	0.6324555	0.74807066	0.06413118			
"ENSDARG00000093349"			0.047619047619047616	0.9748910365738108	1.9233701	1.9233701	1.9233701	1.6222656	1.4153649	1.6142367	1.7731053	0.15160416	0.24314867	0.4370004	0.28334835	0.18552352			
"ENSDARG00000062349"			0.03773584905660377	0.9748910365738108	1.728136	1.728136	-1.0475157	1.1957979	1.2053409	-1.0750297	1.728136	0.85066277	0.3836174	0.35979438	0.7482811	0.07785624			
"ENSDARG00000069560"			0.04081632653061224	0.9748910365738108	-1.718416	1.718416	-1.5058097	-1.4227374	-1.5018989	-1.1664335	-1.718416	0.06183279	0.08638117	0.10008826	0.59895664	0.028040098			
"ENSDARG00000012609"			0.021739130434782608	0.9748910365738108	1.7229304	1.7229304	-1.15324	-1.1721239	-1.6182084	-1.0007956	1.7229304	0.51156694	0.42316172	0.04482073	0.9956149	0.034533456			
"ENSDARG00000095301"			0.03636363636363636	0.9748910365738108	-1.9962162	1.9962162	-1.9962162	-1.3657972	-1.3497512	-1.0491781	-1.6440935	3.892399E-5	0.31607798	0.17385824	0.83218014	0.08121263			
"ENSDARG00000097033"			0.045454545454545456	0.9748910365738108	2.0225887	2.0225887	1.9200356	1.7046313	1.8005614	1.0275067	2.0225887	0.07206472	0.11567037	0.11292597	0.93427736	0.0702565			
"ENSDARG00000089123"			0.017543859649122806	0.9748910365738108	1.6054298	1.6054298	1.6054298	1.2179012	1.4799339	1.2679068	1.546287	0.017242117	0.10703988	0.024393082	0.10187807	0.036184218			
"ENSDARG00000055138"			0.017543859649122806	0.9748910365738108	-1.5117415	1.5117415	-1.0202094	1.0953921	-1.057533	-1.2555945	-1.5117415	0.91272163	0.5575486	0.7634677	0.20879048	0.1723481			
"ENSDARG00000087388"			0.044444444444444446	0.9748910365738108	-1.506259	1.506259	-1.3486657	1.0521075	1.0691868	1.0897568	-1.506259	0.047444098	0.7357239	0.5137281	0.7819831	0.13365836			
"ENSDARG00000053828"			0.0196078431372549	0.9748910365738108	1.7290907	1.7290907	1.1858146	1.0459511	1.4332418	1.7290907	1.685999	0.2575817	0.816505	0.068917505	0.029303102	0.03365219			
"ENSDARG00000067784"			0.04	0.9748910365738108	-1.5941771	1.5941771	-1.0149832	1.0576278	1.09405	1.2786276	-1.5941771	0.9024118	0.7754371	0.65101403	0.6320836	0.028106436			
"ENSDARG00000044685"			0.019230769230769232	0.9748910365738108	-2.4656885	2.4656885	-1.0148321	1.075108	-1.0116132	-1.1153758	-2.4656885	0.87791514	0.08489422	0.86832273	0.34087935	0.0067252843	0.3	3.0	
"ENSDARG00000069026"			0.044444444444444446	0.9748910365738108	-1.8005656	1.8005656	-1.679763	-1.1633265	-1.5281326	-1.0601655	-1.8005656	0.037266597	0.5310239	0.08523184	0.7582476	0.040199574			
"ENSDARG00000055395"			0.019230769230769232	0.9748910365738108	1.8087875	1.8087875	1.2300911	1.4203084	1.5774583	1.4680918	1.8087875	0.07754917	0.0033870526	0.091887005	0.013130156	0.026916187			
"ENSDARG00000020711"			0.038461538461538464	0.9748910365738108	15.578662	15.578662	6.695377	5.8044667	6.183356	10.346638	15.578662	0.18474965	0.1453654	0.1375663	0.05837449	0.023810856	0.3	3.0	
"ENSDARG00000010276"			0.0196078431372549	0.9748910365738108	2.5468028	2.5468028	1.03401	1.2682748	2.4604554	1.8381207	2.5468028	0.8849131	0.34859556	0.02767789	0.07393189	0.018629048	0.003	0.03	
"ENSDARG00000031683"			0.021739130434782608	0.9748910365738108	3.3284345	3.3284345	1.053939	1.307318	2.1274288	2.2662797	3.3284345	0.8340849	0.200316	0.018186443	0.096301004	0.008195796	0.003	0.03	
"ENSDARG00000075016"			0.020833333333333332	0.9748910365738108	-4.864414	4.864414	-2.066172	-1.7516237	-2.7824385	-1.3352505	-4.864414	0.14685427	0.2272199	0.07287503	0.5063578	0.033237435	0.3	3.0	
"ENSDARG00000003041"			0.022222222222222223	0.9748910365738108	-1.5460018	1.5460018	-1.5316914	-1.3264141	-1.1483725	1.0841972	-1.5460018	0.11726952	0.2391549	0.5172878	0.68609846	0.12389731			
"ENSDARG00000059001"			0.044444444444444446	0.9748910365738108	1.5530925	1.5530925	1.2808994	1.2547585	1.5530925	1.2306132	1.3314235	0.38635668	0.4197652	0.19005379	0.4544736	0.3329195			
"ENSDARG00000058716"			0.03225806451612903	0.9748910365738108	-1.7157905	1.7157905	-1.1224872	-1.360532	-1.1157765	-1.0938219	-1.7157905	0.54663247	0.2775474	0.51615614	0.8178864	0.06978829			
"ENSDARG00000078434"			0.0425531914893617	0.9748910365738108	1.7386631	1.7386631	1.4915864	1.385983	1.0903888	1.4824408	1.7386631	0.1349886	0.19657558	0.72878546	0.1518177	0.11181339			
"ENSDARG00000096756"			0.018518518518518517	0.9748910365738108	2.1660357	2.1660357	1.7761794	1.233467	1.2811179	1.6111883	2.1660357	0.05916524	0.29963005	0.14752612	0.36886543	0.0050794743	0.3	3.0	
"ENSDARG00000111246"			0.022222222222222223	0.9748910365738108	1.7791548	1.7791548	1.1371465	1.6715474	1.5345067	1.3255726	1.7791548	0.54212093	0.010556495	0.07837425	0.13010696	0.022111142			
"ENSDARG00000015149"			0.043478260869565216	0.9748910365738108	1.559891	1.559891	1.267541	1.0563153	1.2325534	1.1095369	1.559891	0.17205372	0.792288	0.2004705	0.45466727	0.04268506			
"ENSDARG00000055835"			0.0392156862745098	0.9748910365738108	-1.5264177	1.5264177	-1.2279301	-1.0973738	-1.0089546	-1.1604447	-1.5264177	0.12354498	0.51200634	0.9214737	0.6330269	0.18608724			
"ENSDARG00000077504"			0.0196078431372549	0.9748910365738108	-1.6658456	1.6658456	-1.0299007	-1.2987918	-1.6658456	-1.0446632	1.5590441	0.8675908	0.31709316	0.22991526	0.8981594	0.13821454			
"ENSDARG00000074170"			0.019230769230769232	0.9748910365738108	-1.5191464	1.5191464	-1.0444077	1.1320117	1.0291041	1.1840031	-1.5191464	0.7639289	0.32524806	0.85379624	0.28195634	0.01734423			
