gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
ENSDARG00000079166	Lin	-0.350818669189574	NA	11.9062036260019	NA	NA	0.356672862767629	15.49	0.999213645715096	11.87962245	FALSE	1.09245622302932	0.77946041787321	1.82831179305354	11.5229495872324	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000079478	Poly2	4.91544580315847	1.20819876765074	-0.545196033781467	NA	NA	0.429337342368767	21.86	0.679360194529326	4.798253228	FALSE	2.60142635018044	2.45949149363824	2.73098055005656	4.36891588563123	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000079547	Lin	-0.438760880962347	NA	4.12887350416902	NA	NA	0.557553762339135	28.9	0.901503524988782	4.28953080533333	FALSE	0.904584891923691	0.602568088126138	1.82040503366136	3.7319770429942	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000087318	Lin	0.381091981645079	NA	4.14751584858316	NA	NA	0.393486767781318	18.44	0.88859655129468	4.02814336866667	TRUE	0.71928642489885	0.510885174270426	1.21656840697935	4.42163013644798	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000088079	Exp2	-0.0962898083859863	NA	NA	4.37084591600847	NA	0.440818829367068	21.85	0.612001954542776	4.50556219766667	FALSE	0.75403572019671	0.147376446195321	1.32718084965223	4.0647433682996	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000088612	Poly2	3.99888171068765	3.87447164336622	-1.245387011411	NA	NA	0.423510281232634	21.45	0.587447090159579	3.785499966	TRUE	0.0552140343507015	NA	0.114491738491159	4.20901024723263	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000088625	Lin	-0.479442382986304	NA	6.75202742577498	NA	NA	0.454496040280491	22.76	0.842937405027111	6.531189571	FALSE	1.40858196948561	1.02503725168699	2.2543940047786	6.07669353071951	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000090428	Exp2	-0.0379111177092941	NA	NA	12.0925240762308	NA	0.436839575006048	21.58	0.921964535936734	12.1546462733333	FALSE	0.830305054911355	0.304575762068595	1.34575928225663	11.7178066983273	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000090903	Lin	-0.448192084347521	NA	7.49644731415112	NA	NA	0.256485414249876	5.6	0.692437739790148	7.35491704333333	FALSE	0.888047106317785	0.724141547446922	1.14809474717404	7.09843162908346	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000091560	Lin	-0.443938178880374	NA	10.8590029999324	NA	NA	0.290331793862239	9.32	0.955414914925419	10.8025371433333	FALSE	0.781184554960934	0.620612805716832	1.0539816807954	10.5122053494711	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000093844	Exp2	-0.0404152925300913	NA	NA	10.1815352343276	NA	0.359549308001094	15.73	0.819423040418983	10.1681218896667	FALSE	0.923389386494423	0.44071767276842	1.39681846196615	9.80857258166557	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000094104	Poly2	4.80711052735708	-1.22479854476306	0.555149728720912	NA	NA	0.439489917445398	22.56	0.45513732275337	4.54558137966667	TRUE	2.34306291060074	2.16685502066678	2.49714768163923	4.98507129711207	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000095360	Lin	-0.337457152998836	NA	4.64861475588487	NA	NA	0.389932975982488	18.17	0.780986091252686	4.621033658	FALSE	1.23723579928774	0.849631263183957	2.28004449544645	4.23110068201751	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000095638	Lin	0.390520562218254	NA	4.84675425945824	NA	NA	0.336360100159634	13.73	0.831284446631203	4.78286053	TRUE	0.697700444284301	0.520530750927432	1.05860653333947	5.11922063015963	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000096722	Exp2	-0.0574304044197519	NA	NA	6.82254703044237	NA	0.27447493535239	7.63	0.805003846741104	6.751013189	FALSE	0.906257233223769	0.515124941784183	1.28878960049237	6.47653825364761	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000098063	Lin	-0.469492724339298	NA	8.9000243396747	NA	NA	0.363773084325281	16.08	0.650299297550126	8.68054154566667	FALSE	1.24231077730584	0.950899042768287	1.7918516320966	8.31676846134139	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000098408	Lin	-0.320331244863575	NA	6.18516889830075	NA	NA	0.300070293945185	10.31	0.75391504405339	6.25343166866667	FALSE	0.723649430533787	0.528312915025762	1.15005544495138	5.95336137472148	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000098711	Exp2	0.0405251371285606	NA	NA	5.53974772717195	NA	0.440655924156241	21.84	0.279720142891314	5.17661239133333	TRUE	0.342911139527626	NA	1.38162517866246	5.61726831548957	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000099525	Poly2	8.98072511551467	0.817294917020488	-0.397151507628933	NA	NA	0.212499428423002	0.76	0.652737475634497	8.99826351566667	FALSE	2.27378666471152	2.15822923886395	2.37948068831469	8.78576408724367	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000099558	Lin	-0.429986148959524	NA	9.12623254899869	NA	NA	0.299453239121669	10.25	0.931628766419327	9.126951957	FALSE	0.694752220044652	0.544651118371404	0.959122978625041	8.82749871787833	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000100315	Lin	-0.390791791111071	NA	10.3588008300621	NA	NA	0.355935348813978	15.43	0.947230111658107	10.26322309	FALSE	1.15538018512453	0.849862810310775	1.80681759773526	9.90728774118602	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000100625	Lin	-0.455006829179612	NA	6.41656435820755	NA	NA	0.560336716377275	29.05	0.380325185423336	6.61941431066667	FALSE	0.785673393668261	0.528627770437834	1.5331830597416	6.05907759428939	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000100792	Lin	-0.403252878500038	NA	10.0147026331142	NA	NA	0.337801869323953	13.86	0.880782168424929	10.000605076	FALSE	0.872651989520249	0.655580847585874	1.30554064312263	9.66280320667605	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000101629	Lin	-0.408689466203965	NA	11.0579076640062	NA	NA	0.207843515153278	-0.71	0.79479570172472	10.9950288033333	FALSE	0.662415838391062	0.551487902739619	0.829370331819586	10.7871852881801	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000101726	Lin	-0.415710711977298	NA	9.08155202818012	NA	NA	0.247182581663854	4.49	0.660907272733712	9.05434993666667	FALSE	0.660037530536396	0.534362119494879	0.863172564373949	8.80716735500281	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000102720	Exp2	-0.0978900674321669	NA	NA	4.40847694946174	NA	0.350668434389171	14.98	0.9383237912447	4.49654628166667	FALSE	0.627384549811986	0.159345194847833	1.07491134689136	4.1458778472775	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000102894	Lin	-0.420988604918596	NA	4.19615633688836	NA	NA	0.490780490800245	25.07	0.627689927967072	3.94902395033333	FALSE	1.75280961064001	1.20050352332351	3.25471164289516	3.45824345953309	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000103277	Lin	-0.459843831178956	NA	10.3980338139604	NA	NA	0.431691686941958	21.22	0.727944834255757	10.229499137	FALSE	1.30528308156652	0.952386697319079	2.07704939736481	9.79780745005804	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000104569	Lin	-0.645966433113388	NA	7.4547563272327	NA	NA	0.4206900171265	20.45	0.887624170803189	7.43520809466667	FALSE	0.681518770808976	0.541900470906326	0.918169241469804	7.01451807754017	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000104829	Lin	-0.346251779395309	NA	6.24754905985168	NA	NA	0.363351115308819	16.05	0.919354946603954	6.205265657	FALSE	1.17150161482781	0.828073463177462	2.00405345169259	5.84191454169118	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000105052	Poly2	4.66352420639674	2.50239369353528	-0.994824153350419	NA	NA	0.632204836913679	33.46	0.722835462700345	4.517418376	FALSE	2.7952974479621	2.68541332873175	2.89782773746494	3.88521353908632	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000105351	Lin	-0.403210792636752	NA	7.18214190068588	NA	NA	0.314524586639112	11.72	0.95917482587323	7.18924555566667	FALSE	0.762432300327639	0.582671575268969	1.10299070264766	6.87472096902756	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000117378	Poly2	5.85870217818844	1.0479735923416	-0.463037830608696	NA	NA	0.275269791117529	8.52	0.794790662952644	5.93665091533333	FALSE	2.43804632164306	2.31565068021263	2.54990583618798	5.6613811242158	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000117717	Poly2	3.96816438455881	2.53453505629183	-0.711844223190329	NA	NA	0.55222167252918	29.41	0.17754571253623	3.69016010966667	TRUE	0.111696395905744	NA	0.23548032780264	4.24238178219585	FALSE	TRUE	NA	NA	FALSE
