	B4	B5	B6	B1	B2	B3	A10	A11	A12	A7	A8	A9	A4	A5	A6	A1	A2	A3
557312	6.24604895441737	4.51693019299168	5.7448670320589	5.98077653083295	4.48308023807348	5.0946902600194	2.31562559077185	3.9449789494738	3.69272697272039	6.59301071685699	5.02557916994827	4.39535705342792	5.75671278982212	5.10305202414895	4.58248534275301	1.80376211355037	4.202993112909	6.84723862794888
368848	6.78819837159955	6.10189269371284	6.92647383854885	6.52391885585948	5.83671719268818	4.44261356343971	6.83918754682886	6.7523338715314	6.19522731324958	8.45462723270107	5.76254476411447	5.79974730850725	5.4518582082937	6.25191541006343	6.45695446066915	6.84815623290883	4.4440012124128	6.59198157270681
561024	6.60298349913265	5.6164658665426	6.65410156813572	4.93895635513832	4.12051015868878	6.49323963650967	5.12298051282945	3.9449789494738	6.500081894778	5.32292155348925	6.65562956019796	5.79974730850725	5.4518582082937	4.27992978623303	6.16744784347417	5.50420183169147	6.29815034594934	5.09721688095723
562393	6.4792481307104	4.03150336582144	5.7448670320589	6.78223085145087	5.83671719268818	5.33569835952319	6.83918754682886	7.64541866761489	6.35569198544282	6.79004756391655	6.46615176133425	6.41641866895574	6.57384873267231	6.51022740565482	6.69796256017295	5.71065270915889	6.23541459060138	6.28164145209466
555778	8.48462130280925	7.06712727555216	8.30020436367078	7.50970499663978	8.89058406466692	8.01029807272903	8.29290551427177	3.9449789494738	6.63132642805625	7.97692569864005	8.13310763425271	8.36859014386513	8.56406771187973	8.51612800709451	7.52108479808887	8.4036749557375	8.14444093055389	8.73581734528046
368433	6.08558428222413	5.41001498907517	6.76235445878774	6.06094687951694	6.35754935598962	7.41661835490676	6.95948178054657	7.11490395091611	6.75162066177396	6.79004756391655	7.07620524301824	7.22675744945217	7.03682070901486	7.14934567642289	6.16744784347417	7.01321547917932	7.53797736062181	7.90457180301483
566167	6.60298349913265	6.99497748979633	6.72716503032544	6.78223085145087	6.98558057860267	8.1109920723485	8.09698530429651	7.64541866761489	7.83568492656244	7.64484964837661	7.00830117851643	7.22675744945217	7.63118190773826	6.91934007097656	7.52108479808887	8.10754286172748	7.8831128466705	6.68217938167839
368917	5.62261230588158	4.51693019299168	5.34151133782769	5.09942102733157	5.70547265940993	5.33569835952319	5.48555059221416	3.9449789494738	5.56719609063653	7.16619604980179	6.61054167066942	6.14078422634232	5.4518582082937	5.10305202414895	4.58248534275301	4.12569020843774	4.4440012124128	3.95971335720729
556781	8.27734508490691	8.55506532187845	8.42623401673312	8.16437646917234	7.9130680788183	8.17441745249013	7.17360658589942	8.46854090553081	7.59961756832891	7.77461752334694	8.72601888808936	8.74668606475584	8.10586235344451	8.45600701465694	8.2069762076608	8.85904454905156	8.29045595415934	7.41914497584459
565708	9.06061736670755	8.90924761577044	9.23593796787015	9.66847713714337	9.63056785039604	9.1028641914651	10.1294067819889	8.19290646291738	8.76597595475103	10.0331202380927	9.33022927340379	9.27079021751484	9.19094385433428	9.00155483426475	10.1971951868682	8.98367120356531	9.14870295740805	9.53865207030068
563784	0.413158940252629	1.70957527093408	3.19466994949842	3.17342160877535	4.48308023807348	1.6352586413821	2.31562559077185	3.9449789494738	2.10776447199924	3.55738680712627	3.44061666922711	3.47781921361989	1.36439536704336	0.579490068091938	2.99752284203185	4.61111703560798	0.743561494271704	1.63778526231993
558652	9.15799277775217	9.54877905903102	8.90695128028403	9.64915503974175	9.77667960990235	9.77991688421399	8.69066502211877	9.96734676250225	9.28767356201417	9.7629357182993	9.43092327302327	9.50511090528763	8.95685240431144	9.05927033212104	9.10604729881002	9.97868779605105	10.1076961492798	10.2189858442449
323361	6.71693968842973	5.79703811218442	6.45340421789859	6.40608236556562	7.6881946679781	7.18984749305974	6.22251618638037	3.9449789494738	8.08504439549915	7.46427740273479	5.27711793694423	6.6477442150622	6.11928286920683	5.62388418745039	6.16744784347417	7.08916433241262	6.62620454363355	7.19237411399757
30453	8.51644674866465	8.30948811312121	8.35885858139159	8.39838797377562	8.25566974197041	8.53007640469005	9.08380991554877	7.85186954508231	7.06196078238611	8.13027647554685	7.90938615244374	7.83927567269389	7.43048455750114	8.06330584535619	8.77888255555651	8.1788015448973	7.94323383910807	7.7038744527777
565460	9.67290220394341	8.3960757981173	9.22966537085462	8.69069730198493	8.389970833682	8.89264648407475	7.80747868710152	12.5560037467811	7.46531647661732	9.08720775365497	9.25164724942811	9.81766921650451	10.2682772127795	9.0182819206702	8.61223268614706	9.28757789081463	9.9309135674722	9.10539081240293
573719	6.71693968842973	7.97636181162898	7.37599971421298	6.46620335800319	7.04107569119437	7.18984749305974	6.01606530891294	6.26690704436116	8.08504439549915	7.34398316901708	6.74178620394768	7.67421642642339	6.918984218721	7.14934567642289	7.38984026481061	7.78104203705029	5.87284451121667	5.54467585792845
503756	9.30494264347094	9.36062696211301	8.5721903703491	9.31501788715916	8.67947745087699	9.01896293385616	8.54444428126773	8.89917525986067	8.92794343441443	8.49284655493156	8.96865210186343	9.19359058551697	7.99375198712297	9.26248465177362	9.53668165313988	9.22161462843627	8.71510504822248	8.79765659909832
570547	4.80547636303139	4.03150336582144	4.29420562304933	5.80568982427486	5.01359495477226	3.95718673626946	4.63755368565921	3.9449789494738	3.69272697272039	4.04281363429651	2.21822424789066	4.39535705342792	5.61232288048695	5.70877308503691	5.31945093691922	3.38872461427153	5.38741768404643	6.03010268509869
561345	10.1663756894316	9.94319494769378	10.1270956372141	9.76138659765803	9.80901026351834	10.1936793546508	10.2639928223565	9.37124370417589	9.42064742728359	9.17209665124148	9.98420092871594	9.74460575431479	9.93044940521445	9.91264541840255	10.7457156916213	9.42581393300675	10.2493730481913	9.4125723219211
796753	5.1680464424161	6.56755626606165	6.40968284046927	3.65884843594559	1.31315523663117	6.15882059743912	2.31562559077185	3.9449789494738	2.10776447199924	4.6948903308762	5.02557916994827	5.35228833153603	4.82382698568066	5.53368637847881	2.99752284203185	1.80376211355037	4.4440012124128	5.88571277576352
568941	3.22051386231023	1.70957527093408	4.47477786869116	5.70947450901556	4.12051015868878	1.6352586413821	5.77505720940915	3.9449789494738	2.10776447199924	4.40538371368122	0.633261747169506	1.89285671289873	1.36439536704336	3.38684499014954	2.99752284203185	1.80376211355037	5.60154248939928	4.44514018437754
