	DMSO_A	DMSO_B	DMSO_C	DMSO_D	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
553712	3.134358306	3.204123744	3.144662073	3.112895049	3.383039889	3.197857861	3.319436122	3.67047445	3.078772304	3.370535216	3.294249524	3.229453486	3.463718093	3.661266514	3.265175159	3.198289502	3.99366813	3.416319581
553713	4.586007974	4.560830367	4.555302942	4.514431032	4.456981282	4.362273372	4.72638509	4.349534794	4.603943914	4.603100005	4.586164384	4.589939624	4.590067749	4.664094517	4.49763768	4.644939449	4.417123932	4.449831718
553715	5.124471776	5.461552388	5.190574694	5.207918478	5.301882387	5.342941831	5.226853609	5.234203602	5.187961456	5.59934987	5.177918801	5.29073456	5.471868795	5.317198206	5.199805	5.294470058	5.01623552	5.018310764
553716	2.952023074	2.92669551	3.067384017	2.966898631	2.931325012	3.057599145	3.028746499	3.007781459	2.90986653	2.742139119	2.99185684	2.997874903	2.765235941	2.823483272	2.879559829	2.716584769	2.989184494	2.750295366
553717	3.621677178	3.431191858	3.615539815	3.744383829	3.498034806	3.403077562	3.850030328	3.822574124	3.684680485	3.297799867	3.668457393	3.627563513	3.241542971	3.58020936	3.724032841	3.486101078	3.782690557	3.772731968
553718	5.862435887	6.055539342	6.350204609	6.464977752	5.83733331	6.259052614	6.131344999	6.36555197	6.072307772	5.141840972	6.361507169	6.094100969	5.38392847	5.907958914	6.064769299	4.726084911	6.106727924	5.860191089
553720	1.959435447	1.611819255	1.896798707	2.016925429	1.906951466	1.222002937	2.219605164	1.745780269	1.894236013	1.7885309	1.79699781	2.115080242	2.06147383	1.907711352	1.984397848	2.032691414	2.14223036	2.329079701
553721	3.290312547	3.316144995	3.525949053	3.674161229	3.314399369	3.420363756	3.485070533	3.431112609	3.445630422	3.284172054	3.619997499	3.412890866	3.486417796	3.494325517	3.300361571	3.548625341	3.387267055	3.686892219
553723	1.681432144	1.941787088	2.096721939	1.830831346	1.880062141	2.100277108	1.803176701	1.474375827	1.619874017	1.952588813	1.96161009	2.005119982	1.867592769	1.804434224	1.910413275	1.988266897	1.549167906	2.096558913
553724	2.906459089	2.552727959	2.677875764	2.699578557	2.704898822	2.755568522	2.890178784	2.699295082	2.814070485	3.170251282	2.765528328	3.02630163	2.757791099	2.925452473	2.799841929	2.770046046	2.69702659	2.695821601
553725	3.992583784	4.086413263	4.024138335	3.931989936	3.87009476	3.994053907	4.058528684	3.871362321	4.16028809	3.773057712	4.022366713	3.997831831	3.82955371	3.86748697	3.875594841	3.779056729	3.613812878	4.003294334
553728	3.10103733	3.068517793	2.95173047	3.215350471	2.585143616	2.65205871	2.716512626	2.465073733	2.473005446	2.752073048	2.697099712	2.556307425	2.505591007	3.01298733	2.223138309	2.369321391	1.580713181	1.949102925
553729	5.465510743	5.565958214	5.594759706	5.636450806	5.33567336	5.554745097	5.492371691	5.640819861	5.580374714	5.202869206	5.530134566	5.426237854	5.26555528	5.434255806	5.493816207	5.249692635	5.441521033	5.449935699
553733	3.87133937	3.887200244	4.007684694	4.114395108	3.997529131	4.161033525	4.10626334	4.155461062	4.046862063	4.079556446	4.071246847	4.166954338	4.138437242	4.059143812	3.951340068	4.111436078	3.96107832	4.051091467
553734	6.41759767	6.441151528	6.431862958	6.491920618	6.577507194	6.666487634	6.569813319	6.863353118	6.717092398	6.223785524	6.668957992	6.643660156	6.432498833	6.510853516	6.599404647	6.222036996	6.827219891	6.538421329
553738	1.488771941	1.129777328	1.462171357	1.446144032	1.154893263	1.485558022	1.822358766	1.924543826	1.790664974	1.200956017	1.922184168	1.870487224	1.100666547	1.551537893	1.340712738	1.402802737	1.67141028	1.901757975
553743	3.504238236	3.879116407	3.5431766	3.55296782	3.810818015	3.769659655	3.479039486	3.968335059	3.684680485	3.728469908	3.656494166	3.826565833	3.711198826	3.806430001	3.63954206	3.739399574	3.643990212	3.382228409
553745	2.725880804	2.469030085	2.391216764	2.550753593	2.772253542	2.612498134	2.599078977	2.709088896	2.623766729	2.946289348	2.608801775	2.423680922	3.029155027	2.805765049	2.706744047	2.83837904	2.244250377	2.51885234
553748	2.914153721	2.742913441	2.74889213	2.526430929	2.836603453	2.800270477	2.890178784	2.718816673	2.952483746	2.866232526	2.566807386	3.166992645	2.899843959	2.91722497	2.940307116	3.040448138	2.801126317	2.768005605
553749	2.19242564	2.297669282	2.688237505	2.398257987	2.082328508	2.826441562	3.061404357	2.267146803	2.916032323	2.893414739	2.085752632	2.862531523	2.540719394	2.997461874	2.758267879	2.197855816	2.273500758	3.017889984
553750	4.619339367	4.741124872	4.664292174	4.955790578	4.924880375	4.888533278	4.916892804	5.166508505	4.969699967	4.315561516	4.928844722	4.86639691	4.619118303	4.707680072	5.05795002	4.310997283	5.135205739	4.882641838
553753	3.06000892	2.829362288	2.82599117	3.002603546	2.499401473	2.571822096	3.028746499	2.488009209	2.746479531	2.444256222	2.681442299	2.764690839	2.345947058	3.035966672	2.917825565	2.846697507	2.667949544	3.13852512
553754	4.35394675	4.522420017	4.393750185	4.598501277	4.259880947	4.76542461	4.392770541	4.56439037	4.226282225	3.738498079	4.20593919	4.091611266	3.825998389	4.153222514	4.13472185	3.375467288	4.45378786	3.798811435
553756	4.644998566	4.858841691	5.044982299	4.980621168	4.727837735	5.221646288	4.988693046	5.184171337	4.930644282	3.890136562	4.910493491	4.814367074	4.248770868	4.695704464	4.857948358	3.512482929	5.24017792	4.540208372
