	E4	E5	E6	E1	E2	E3	D10	D11	D12	D7	D8	D9	D4	D5	D6	D1	D2	D3
619271	48	12	24	26	2	23	23	13	0	36	19	0	0	38	7	0	21	11
619272	24	0	1	4	3	12	0	1	1	6	2	0	4	15	0	0	11	8
619273	11	0	11	4	7	5	1	6	0	15	1	0	3	15	24	0	5	1
619391	97	21	31	23	22	35	22	54	0	52	35	10	12	66	45	0	55	35
619412	606	61	275	245	95	206	79	155	7	342	172	31	78	428	137	0	367	160
619520	35	33	51	31	8	20	10	10	3	33	14	9	14	33	12	0	50	13
63998	32	7	11	21	5	2	1	7	0	10	25	21	11	45	0	0	20	0
63999	10	8	3	5	0	2	0	1	0	0	16	0	0	5	0	0	5	0
64000	127	26	61	42	31	37	12	32	0	83	59	12	23	116	23	0	85	49
641289	565	97	329	213	94	109	105	131	3	271	178	24	67	412	144	0	252	205
641290	5	3	11	0	3	2	3	0	0	15	23	0	3	9	2	0	14	3
641319	70	12	54	30	8	32	15	31	0	59	32	6	13	61	10	0	45	16
641321	57	10	29	11	10	14	1	11	0	25	32	0	10	39	7	0	36	24
641323	26	7	4	5	5	5	1	13	0	35	1	0	0	2	3	0	11	20
641324	70	14	26	16	20	35	17	7	0	28	31	0	7	114	29	0	21	25
641325	1224	201	897	803	305	497	256	433	24	679	461	85	140	1086	528	0	981	558
641327	144	5	72	35	33	44	35	28	5	130	242	1	13	40	8	0	37	7
641328	157	31	91	77	42	45	59	42	5	82	45	18	15	199	78	0	96	89
641329	16	4	9	3	0	0	4	2	0	22	9	2	6	15	8	0	27	1
641330	98	17	48	7	17	13	1	8	0	21	16	1	16	36	12	0	63	30
641390	16	9	4	1	0	0	10	10	0	15	27	1	2	15	16	0	16	11
641414	44	17	5	1	10	3	2	7	0	20	3	0	4	3	8	0	5	17
641417	32	4	0	2	3	0	1	1	0	2	1	7	0	3	23	0	4	10
641418	11	0	8	1	0	1	4	11	0	2	9	0	0	14	4	0	0	1
641419	23	1	18	9	4	14	5	12	0	11	22	2	5	10	10	0	8	14
641420	35	9	31	29	8	11	17	2	0	16	17	6	8	16	9	0	7	11
641421	887	266	829	436	254	346	318	266	23	392	267	116	105	1174	326	0	719	521
641422	4	0	1	2	0	2	0	3	1	0	8	0	0	14	4	0	9	4
641423	8	6	0	0	3	4	0	4	0	8	2	0	0	2	1	0	0	4
641427	44	12	29	5	4	2	4	12	0	18	22	3	7	26	9	0	6	2
641431	4	0	2	0	2	0	0	0	0	5	5	0	0	1	0	0	6	0
641469	28	13	18	14	10	4	23	7	0	63	24	0	8	49	19	0	19	15
641475	6	2	17	48	18	16	10	0	0	31	36	3	14	23	10	0	15	4
641478	64	23	29	15	27	16	9	21	1	15	14	3	1	50	24	0	26	18
641479	5	1	7	11	0	8	11	9	0	11	15	0	1	2	5	0	45	13
641481	27	3	17	41	3	12	8	14	2	50	36	0	2	29	9	0	24	13
641483	327	37	198	170	63	110	51	128	6	228	146	70	23	273	172	0	155	87
641484	230	48	155	82	47	58	45	76	4	95	101	16	31	244	59	0	99	58
641490	240	36	118	112	44	68	34	31	5	175	97	13	37	212	80	0	159	85
641491	81	27	56	36	23	24	17	25	3	17	23	5	29	71	27	0	46	18
641492	263	35	202	104	26	72	42	122	3	181	160	17	21	144	88	0	230	41
641495	123	17	53	45	50	52	30	48	5	64	85	5	37	102	86	0	107	42
641497	144	25	112	43	46	50	23	26	4	75	42	0	28	125	40	0	67	42
641500	142	13	97	79	58	33	31	60	0	105	102	22	24	187	81	0	61	58
641503	8	2	9	1	1	3	0	3	0	1	6	0	0	4	8	0	6	1
641560	52	24	15	32	12	3	1	18	0	31	41	8	1	44	9	0	53	14
641563	4	0	3	0	0	3	3	0	0	0	0	0	0	0	0	0	3	0
641564	25	5	2	0	3	0	0	24	0	5	0	7	0	4	0	0	0	1
641568	6	0	10	0	5	0	0	3	0	2	6	3	0	6	2	0	14	0
