#NAME	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6
#CLASS:DOSE	1000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	100	100	100	0	0	0
ENSDARG00000002241	0	18	3	1	4	1	4	0	0	2	1	0	5	0	1	21	1	1
ENSDARG00000002249	0	63	40	13	61	57	40	32	15	24	18	3	73	18	33	147	9	79
ENSDARG00000002255	0	73	28	31	120	36	97	58	3	27	29	0	59	17	67	140	22	74
ENSDARG00000002259	0	6	6	1	1	0	6	3	3	0	0	0	3	5	0	19	0	12
ENSDARG00000002264	0	28	27	19	48	22	46	3	2	7	23	0	31	6	13	52	27	40
ENSDARG00000002267	0	38	27	11	82	32	45	48	12	13	36	1	45	21	23	57	17	82
ENSDARG00000002271	0	252	112	66	285	101	188	115	25	46	90	17	131	87	113	361	58	125
ENSDARG00000002285	0	89	32	22	112	37	63	60	14	43	57	1	56	25	30	115	25	88
ENSDARG00000002293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002295	0	7	0	0	1	0	0	2	0	0	3	0	0	3	0	0	1	0
ENSDARG00000002298	0	18	5	12	19	12	31	29	1	2	9	1	11	7	4	36	2	24
ENSDARG00000002299	0	27	9	0	25	1	17	23	0	12	7	0	3	0	15	12	4	7
ENSDARG00000002300	0	0	7	6	8	1	0	12	1	4	10	0	5	0	6	18	0	2
ENSDARG00000002304	0	10	0	0	20	16	13	4	1	4	4	0	7	4	0	45	2	18
ENSDARG00000002305	0	246	146	35	402	144	174	115	44	88	130	11	187	98	99	438	76	316
ENSDARG00000002311	0	0	10	4	3	14	19	0	4	0	0	0	11	0	0	13	1	0
ENSDARG00000002330	0	19	9	0	10	4	14	7	0	5	0	0	7	3	6	13	0	8
ENSDARG00000002332	0	165	33	34	190	79	133	70	16	66	84	2	100	65	67	248	28	123
ENSDARG00000002333	0	39	49	18	73	29	69	27	11	16	26	4	32	15	18	116	30	37
ENSDARG00000002336	0	162	103	17	167	56	80	87	16	21	73	13	90	24	54	332	53	74
ENSDARG00000002339	0	16	22	3	15	5	10	4	0	8	4	0	5	11	0	25	1	19
ENSDARG00000002344	0	1009	697	199	1466	447	676	492	126	324	351	19	538	426	450	1364	312	1071
ENSDARG00000002347	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002353	0	5	0	0	14	3	7	16	0	0	5	0	0	0	4	6	2	14
ENSDARG00000002355	0	0	3	0	5	0	1	2	0	4	0	1	3	0	4	3	0	7
ENSDARG00000002362	0	53	33	14	80	51	55	15	7	41	46	3	46	31	23	99	16	64
ENSDARG00000002365	0	47	46	32	99	57	70	61	8	39	62	2	51	19	55	76	7	40
ENSDARG00000002369	0	261	223	83	523	187	195	140	7	86	73	1	198	112	156	557	141	251
ENSDARG00000002377	0	27	9	7	25	19	46	11	0	3	26	0	53	10	10	59	0	60
ENSDARG00000002385	0	106	78	13	128	63	62	83	10	38	61	2	40	35	59	164	47	123
ENSDARG00000002391	0	13	0	0	6	17	13	20	0	0	11	1	0	7	9	21	6	16
ENSDARG00000002394	0	41	29	11	24	17	35	29	1	4	12	0	23	21	20	34	2	29
ENSDARG00000002396	0	220	156	70	344	156	184	143	42	61	116	32	186	62	137	411	77	346
ENSDARG00000002401	0	43	53	8	21	35	28	17	22	6	10	0	24	26	26	52	11	55
ENSDARG00000002402	0	42	49	12	89	15	21	24	10	31	29	1	50	16	13	74	20	49
ENSDARG00000002403	0	62	54	5	105	32	54	39	13	54	34	0	55	12	70	130	23	110
ENSDARG00000002405	0	78	27	15	76	48	88	45	7	29	39	1	44	10	34	129	31	90
ENSDARG00000002406	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ENSDARG00000002411	0	46	33	6	96	48	59	46	0	7	27	3	30	7	40	63	18	20
ENSDARG00000002445	1	31	22	11	57	16	37	44	0	16	25	1	45	5	19	101	17	122
ENSDARG00000002463	0	34	26	2	4	12	0	18	0	14	4	0	15	8	14	77	0	16
ENSDARG00000002467	0	16	3	18	24	4	18	5	2	6	27	1	17	7	6	25	20	25
ENSDARG00000002479	0	26	14	17	77	18	32	36	7	30	23	0	38	10	28	114	12	46
ENSDARG00000002483	0	1	3	5	6	2	5	19	0	0	19	0	2	2	12	22	6	17
ENSDARG00000002487	0	98	110	22	152	35	74	54	23	31	61	0	63	51	33	252	27	84
ENSDARG00000002494	0	68	57	13	64	55	68	59	6	27	53	0	41	12	52	110	30	98
ENSDARG00000002506	0	19	38	9	15	18	11	26	18	17	23	3	35	6	13	33	7	28
ENSDARG00000002507	0	57	29	20	86	39	42	8	1	21	23	0	32	9	28	91	7	44
ENSDARG00000002508	0	28	25	12	85	35	17	11	9	6	19	0	19	17	10	57	12	30
ENSDARG00000002509	0	4	3	0	0	0	7	0	0	3	6	0	1	0	4	8	0	2
ENSDARG00000002510	0	5	0	2	8	8	1	0	0	0	0	0	0	0	8	0	4	1
ENSDARG00000002523	0	199	195	44	353	55	281	103	53	94	49	18	128	35	62	375	118	243
ENSDARG00000002533	0	25	2	0	2	4	22	11	0	4	11	0	18	19	5	51	1	10
ENSDARG00000002536	0	131	61	29	157	57	92	78	11	49	49	0	64	35	95	174	25	118
ENSDARG00000002538	0	39	67	7	106	49	59	31	2	25	59	0	58	16	94	123	17	104
ENSDARG00000002546	0	27	45	7	43	2	11	57	6	8	35	0	12	7	25	98	14	20
ENSDARG00000002549	0	20	11	5	16	34	4	87	0	12	0	0	6	1	18	95	5	5
ENSDARG00000002552	0	282	169	74	329	166	237	162	27	106	133	6	219	73	108	451	86	273
ENSDARG00000002564	0	140	48	39	81	42	50	58	23	32	31	11	37	31	63	177	27	74
ENSDARG00000002571	0	117	59	31	134	46	76	58	18	38	62	4	50	38	53	205	34	91
ENSDARG00000002576	0	45	6	9	60	13	24	15	7	11	6	0	37	4	18	78	4	33
ENSDARG00000002582	0	54	15	21	80	26	50	43	14	5	37	8	35	33	30	125	41	82
ENSDARG00000002587	0	333	328	76	525	183	238	165	33	131	163	7	221	124	214	563	158	441
ENSDARG00000002589	1	1122	611	285	1619	632	1053	625	105	322	568	40	804	355	381	1976	318	1173
ENSDARG00000002591	0	83	34	25	104	35	81	36	22	49	44	1	39	28	38	111	28	162
ENSDARG00000002593	0	11	25	1	16	6	0	10	0	7	17	0	24	0	0	26	0	26
ENSDARG00000002597	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	1	0	0
ENSDARG00000002600	0	147	43	9	149	74	50	55	7	39	33	0	64	48	67	117	28	91
ENSDARG00000002601	0	6	0	3	6	1	8	0	0	0	0	0	6	5	1	17	2	7
ENSDARG00000002607	0	24	19	0	27	19	27	5	0	6	13	1	22	12	22	56	10	29
ENSDARG00000002609	0	30	7	10	38	54	17	36	3	5	2	5	5	5	3	83	9	48
ENSDARG00000002613	0	0	1	0	9	7	5	3	0	2	2	0	10	3	0	8	0	2
ENSDARG00000002632	0	119	139	38	225	132	132	134	18	48	91	2	110	109	70	332	53	145
ENSDARG00000002634	0	25	8	13	33	38	62	37	2	3	10	0	43	8	13	60	7	42
ENSDARG00000002635	0	64	70	25	176	45	74	46	21	30	63	7	52	33	96	203	25	83
ENSDARG00000002642	0	53	47	10	99	51	45	35	3	16	26	0	21	7	30	86	14	30
