Identifier,BPAF-1ug/L-B
ENSDARG00000016548,110
ENSDARG00000073848,27
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,13
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,72
ENSDARG00000095860,0
ENSDARG00000029133,27
ENSDARG00000075859,7
ENSDARG00000070858,2
ENSDARG00000036658,54
ENSDARG00000036650,0
ENSDARG00000036645,2
ENSDARG00000036637,1
ENSDARG00000036636,0
ENSDARG00000052641,95
ENSDARG00000052624,7
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,0
ENSDARG00000095507,0
ENSDARG00000094160,2
ENSDARG00000036549,62
ENSDARG00000036546,2
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,5
ENSDARG00000089853,1
ENSDARG00000000086,13
ENSDARG00000026902,11
ENSDARG00000036592,5
ENSDARG00000001470,3
ENSDARG00000086877,0
ENSDARG00000069471,21
ENSDARG00000036588,28
ENSDARG00000036587,15
ENSDARG00000043271,1
ENSDARG00000036687,31
ENSDARG00000069450,0
ENSDARG00000015076,2
ENSDARG00000015559,9
ENSDARG00000076773,0
ENSDARG00000007734,5
ENSDARG00000060148,36
ENSDARG00000069438,33
ENSDARG00000083014,0
ENSDARG00000069435,2
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,16
ENSDARG00000112034,4
ENSDARG00000096191,0
ENSDARG00000096053,2
ENSDARG00000096589,0
ENSDARG00000075045,2
ENSDARG00000096031,17
ENSDARG00000036008,17
ENSDARG00000008886,10
ENSDARG00000094465,0
ENSDARG00000052468,1
ENSDARG00000018325,13
ENSDARG00000096003,81
ENSDARG00000052480,39
ENSDARG00000022891,44
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,1
ENSDARG00000075389,1
ENSDARG00000069415,70
ENSDARG00000082615,0
ENSDARG00000012574,47
ENSDARG00000052512,1
ENSDARG00000079501,0
ENSDARG00000094063,1
ENSDARG00000031894,19
ENSDARG00000030765,54
ENSDARG00000026548,4
ENSDARG00000052520,4
ENSDARG00000036494,12
ENSDARG00000018721,1
ENSDARG00000114696,0
ENSDARG00000013667,6
ENSDARG00000060036,42
ENSDARG00000076420,4
ENSDARG00000057099,3
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,55
ENSDARG00000075785,3
ENSDARG00000075887,3
ENSDARG00000075564,16
ENSDARG00000117385,4
ENSDARG00000116732,0
ENSDARG00000100792,10
ENSDARG00000075043,28
ENSDARG00000115918,0
ENSDARG00000030703,1
