Chemical,Dose,Dose(mg/L),Animal,Group,control_mean,control_sd,Norm_Fluorescence,z_score,Outlier
4-TPP,Dose_1,1,8,C,5.331222222222222,3.2343292881901253,12.937,2.351578055317255,FALSE
4-TPP,Dose_1,1,9,C,5.331222222222222,3.2343292881901253,15.697,3.2049234490834064,FALSE
4-TPP,Dose_2,0.1,16,C,5.331222222222222,3.2343292881901253,10.452,1.5832580178140354,FALSE
4-TPP,Dose_2,0.1,17,C,5.331222222222222,3.2343292881901253,19.061,4.245015443514325,FALSE
4-TPP,Dose_2,0.1,18,C,5.331222222222222,3.2343292881901253,3.565,-0.5460860861234601,FALSE
4-TPP,Dose_3,0.01,25,C,5.331222222222222,3.2343292881901253,19.836,4.484632356618951,FALSE
4-TPP,Dose_3,0.01,26,C,5.331222222222222,3.2343292881901253,NA,NA,TRUE
4-TPP,Dose_3,0.01,27,C,5.331222222222222,3.2343292881901253,11.153,1.7999953805060906,FALSE
4-TPP,Dose_4,0.001,34,C,5.331222222222222,3.2343292881901253,7.611,0.704868791839529,FALSE
4-TPP,Dose_4,0.001,35,C,5.331222222222222,3.2343292881901253,6.646,0.4065070871350593,FALSE
4-TPP,Dose_4,0.001,36,C,5.331222222222222,3.2343292881901253,18.006,3.9188272585783506,FALSE
4-TPP,Dose_5,1e-4,43,C,5.331222222222222,3.2343292881901253,6.531,0.3709510290614696,FALSE
4-TPP,Dose_5,1e-4,44,C,5.331222222222222,3.2343292881901253,2.256,-0.9508067819350156,FALSE
4-TPP,Dose_5,1e-4,45,C,5.331222222222222,3.2343292881901253,2.014,-1.0256290954463956,FALSE
4-TPP,Dose_6,0,52,C,5.331222222222222,3.2343292881901253,6.153,0.25407981208914876,FALSE
4-TPP,Dose_6,0,53,C,5.331222222222222,3.2343292881901253,3.313,-0.624000230771674,FALSE
4-TPP,Dose_6,0,54,C,5.331222222222222,3.2343292881901253,1.668,-1.1326064527808477,FALSE
4C3MP,Dose_1,1,1,A,7.218444444444445,3.245326259065146,7.989,0.23743546689740916,FALSE
4C3MP,Dose_1,1,2,A,7.218444444444445,3.245326259065146,8.728,0.46514754913744794,FALSE
4C3MP,Dose_1,1,3,A,7.218444444444445,3.245326259065146,15.122,2.4353654839721,FALSE
4C3MP,Dose_2,0.1,10,A,7.218444444444445,3.245326259065146,6.125,-0.3369289732858551,FALSE
4C3MP,Dose_2,0.1,11,A,7.218444444444445,3.245326259065146,3.089,-1.2724281365886398,FALSE
4C3MP,Dose_2,0.1,12,A,7.218444444444445,3.245326259065146,4.1,-0.960903217583661,FALSE
4C3MP,Dose_3,0.01,19,A,7.218444444444445,3.245326259065146,4.851,-0.7294935101922277,FALSE
4C3MP,Dose_3,0.01,20,A,7.218444444444445,3.245326259065146,7.509,0.08953046084163309,FALSE
4C3MP,Dose_3,0.01,21,A,7.218444444444445,3.245326259065146,11.261,1.24565459151095,FALSE
4C3MP,Dose_4,0.001,28,A,7.218444444444445,3.245326259065146,1.201,-1.8541878270746928,FALSE
4C3MP,Dose_4,0.001,29,A,7.218444444444445,3.245326259065146,9.024,0.5563556362051764,FALSE
4C3MP,Dose_4,0.001,30,A,7.218444444444445,3.245326259065146,7.903,0.2109358199790825,FALSE
4C3MP,Dose_5,1e-4,37,A,7.218444444444445,3.245326259065146,7.336,0.03622303157569707,FALSE
4C3MP,Dose_5,1e-4,38,A,7.218444444444445,3.245326259065146,7.939,0.22202869543326587,FALSE
4C3MP,Dose_5,1e-4,39,A,7.218444444444445,3.245326259065146,4.579,-0.8133063469571677,FALSE
4C3MP,Dose_6,0,46,A,7.218444444444445,3.245326259065146,6.522,-0.21459920786055678,FALSE
4C3MP,Dose_6,0,47,A,7.218444444444445,3.245326259065146,4.568,-0.8166958366792793,FALSE
4C3MP,Dose_6,0,48,A,7.218444444444445,3.245326259065146,9.798,0.7948524584701158,FALSE
4C3MP,Dose_1,1,4,B,7.218444444444445,3.245326259065146,12.567,1.6480794621543748,FALSE
