	H4	H5	H6	H1	H2	H3	G10	G11	G12	G7	G8	G9	G4	G5	G6	G1	G2	G3
561613	3	16	105	12	13	7	61	3	5	13	61	52	8	12	31	74	41	0
561618	50	63	108	43	56	87	183	19	3	103	219	113	31	145	139	34	27	3
561623	67	58	87	46	88	32	200	11	5	50	165	78	29	78	55	50	48	20
561624	0	0	0	9	0	15	0	8	0	6	0	10	3	27	0	4	17	0
561626	7	7	26	1	9	0	38	6	0	16	40	0	0	10	38	10	5	1
561627	0	16	0	7	1	0	12	4	0	0	2	0	0	0	0	22	0	0
561635	7	2	89	0	1	12	51	4	6	3	67	15	3	57	4	3	6	3
561637	3	0	24	7	14	11	41	0	0	0	12	7	2	17	18	0	14	0
561639	14	17	31	9	12	23	46	14	6	83	20	16	10	30	34	15	1	1
561642	16	6	60	16	27	40	101	6	22	8	75	61	19	73	68	45	5	1
561643	67	63	138	56	69	30	105	17	1	47	104	110	21	110	97	76	25	5
561647	14	18	0	13	16	3	21	15	3	14	2	4	0	14	11	0	2	0
561648	0	0	14	0	8	0	0	0	0	0	1	27	0	3	9	5	0	0
561649	9	1	18	1	11	15	27	14	0	24	27	34	7	21	24	33	9	7
561653	25	6	41	33	86	56	88	15	4	3	33	63	2	73	52	31	34	63
561654	120	138	178	88	149	137	415	113	52	142	353	133	47	309	247	288	94	24
561659	1	23	8	2	23	36	42	4	1	7	21	17	0	18	8	19	19	2
561664	17	7	69	42	40	10	20	3	13	15	67	8	26	20	41	18	4	12
561667	8	1	12	0	0	6	7	0	0	1	1	7	0	14	0	11	3	0
561669	68	61	154	81	79	102	288	43	15	49	212	165	27	154	128	160	76	20
561670	94	100	177	73	133	103	294	49	8	65	162	167	26	243	144	145	58	8
561671	118	154	175	91	90	360	382	118	42	99	539	64	8	229	383	37	86	19
561673	10	6	31	12	12	15	30	0	0	9	36	16	5	26	15	14	0	0
561675	50	60	118	95	73	35	172	25	8	57	195	99	50	222	169	144	22	31
