Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL				
ENSDARG00000060671	Linear		null	null	1.04455	0.701602	1.99813	0.9265	170.485742	-334.971484	-1	1.488807044	TRUE	3.47E-05	-6.73E-06	
ENSDARG00000017882	Linear		null	null	0.665797	0.477655	1.06645	0.6042	179.852767	-353.705533	-1	1.393886801	TRUE	3.96E-05	-5.65E-06	
ENSDARG00000019260	Poly 2		null	null	0.379841	0.14121	2.51917	0.9956	178.969313	-349.938626	1	2.689901565	TRUE	3.68E-05	1.27E-05	-5.71E-06
ENSDARG00000077866	Exp 2		null	null	1.17651	0.64375	3.28393	0.1331	216.9967	-427.9935	-1	1.82758835	TRUE	-1	1.69E-06	0.176122
ENSDARG00000102334	Exp 2		null	null	1.36607	0.748349	4.16135	0.5314	221.3879	-436.7758	-1	1.82544508	TRUE	-1	1.45E-06	0.129607
ENSDARG00000004964	Poly 2		null	null	0.297547	0.128068	2.89568	0.7724	182.86339	-357.72678	1	2.323351657	TRUE	2.77E-05	1.18E-05	-4.97E-06
ENSDARG00000116442	Linear		null	null	3.39952	1.49842	90000	0.01835	221.072442	-436.144885	-1	2.268736402	TRUE	9.97E-07	-7.09E-08	
ENSDARG00000070604	Linear		null	null	2.11237	1.15796	11.7492	0.167	183.811469	-361.622939	1	1.824216726	TRUE	6.33E-06	1.37E-06	
ENSDARG00000094385	Linear		null	null	1.43906	0.896372	3.57937	0.5022	232.395705	-458.79141	1	1.605427211	TRUE	3.12E-07	7.87E-08	
ENSDARG00000095688	Linear		null	null	1.53962	0.940565	4.16303	0.1449	203.633613	-401.267226	1	1.63690973	TRUE	1.73E-06	5.01E-07	
ENSDARG00000012269	Exp 2		null	null	1.43029	0.970461	2.95792	0.4534	205.2732	-404.5465	1	1.473825326	TRUE	1	4.15E-06	0.107592
ENSDARG00000020046	Exp 2		null	null	1.92636	0.834665	13.368	0.2066	227.3593	-448.7187	-1	2.307943906	TRUE	-1	5.78E-07	0.166579
ENSDARG00000104474	Poly 2		null	null	0.155636	0.0901488	0.538185	0.2282	210.624216	-413.248432	-1	1.726434517	TRUE	3.81E-06	-3.25E-06	9.08E-07
ENSDARG00000055138	Linear		null	null	0.769009	0.542548	1.2845	0.5743	210.055981	-414.111963	-1	1.4174027	TRUE	3.84E-06	-6.53E-07	
ENSDARG00000086847	Linear		null	null	2.63909	1.31713	90000	2.73E-04	221.217006	-436.434012	-1	2.003667064	TRUE	1.41E-06	-9.05E-08	
ENSDARG00000079274	Exp 2		null	null	0.936856	0.534643	2.26236	0.6902	146.5785	-287.1569	-1	1.752302003	TRUE	-1	1.94E-04	0.209408
ENSDARG00000073742	Exp 2		null	null	1.02881	0.558534	2.73381	0.8196	135.005	-264.0099	-1	1.841982762	TRUE	-1	3.76E-04	0.215479
ENSDARG00000005112	Linear		null	null	0.558895	0.407377	0.861603	0.7484	171.957387	-337.914774	-1	1.371935578	TRUE	1.04E-04	-1.14E-05	
ENSDARG00000103396	Exp 2		null	null	3.25842	1.05362	30000	0.004699	228.1633	-450.3267	-1	3.092595053	TRUE	-1	4.07E-07	0.141604
ENSDARG00000010936	Linear		null	null	1.0996	0.730995	2.17052	0.916	157.326073	-308.652146	-1	1.504251055	TRUE	1.26E-04	-1.54E-05	
ENSDARG00000076844	Poly 2		null	null	0.154092	0.0894516	0.541959	0.2414	197.494151	-386.988301	1	1.722629891	TRUE	3.95E-06	7.90E-06	-2.40E-06
