G7,Counts
ENSDARG00000006408,27
ENSDARG00000006409,0
ENSDARG00000006413,43
ENSDARG00000006420,119
ENSDARG00000006422,40
ENSDARG00000006427,127
ENSDARG00000006434,0
ENSDARG00000006447,0
ENSDARG00000006456,9
ENSDARG00000006467,22
ENSDARG00000006468,4
ENSDARG00000006474,0
ENSDARG00000006477,31
ENSDARG00000006487,191
ENSDARG00000006491,6
ENSDARG00000006494,11
ENSDARG00000006497,370
ENSDARG00000006501,0
ENSDARG00000006508,22
ENSDARG00000006514,0
ENSDARG00000006522,5
ENSDARG00000006524,234
ENSDARG00000006526,519
ENSDARG00000006527,64
ENSDARG00000006544,0
ENSDARG00000006545,8
ENSDARG00000006546,89
ENSDARG00000006553,35
ENSDARG00000006560,0
ENSDARG00000006566,74
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,0
ENSDARG00000006580,0
ENSDARG00000006584,95
ENSDARG00000006585,42
ENSDARG00000006588,2
ENSDARG00000006598,3
ENSDARG00000006600,75
ENSDARG00000006601,66
ENSDARG00000006602,9
ENSDARG00000006603,54
ENSDARG00000006604,2
ENSDARG00000006607,29
ENSDARG00000006609,14
ENSDARG00000006615,44
ENSDARG00000006617,22
ENSDARG00000006621,41
ENSDARG00000006624,39
ENSDARG00000006636,11
ENSDARG00000006639,17
ENSDARG00000006640,46
ENSDARG00000006642,1
ENSDARG00000006666,3
ENSDARG00000006672,39
ENSDARG00000006677,47
ENSDARG00000006678,0
ENSDARG00000006683,22
ENSDARG00000006691,338
ENSDARG00000006712,2
