	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
394166	9.179939538	9.173152886	9.101303206	9.201679677	9.382389413	9.267982365	9.390253191	9.360047448	9.377895552	9.393959309	9.353297431	9.405583575	9.324053251	9.410300312	9.336050043	9.450615659	9.336086769	9.199698964	9.372604077	9.47742159	9.417427758
394170	2.768686566	2.612209651	2.708485908	2.488943954	2.755515255	2.040904044	2.563697426	2.618324813	2.659674369	2.550220739	2.92807348	2.440343413	2.444704605	3.162579643	2.362829285	2.376519075	2.33393655	2.563922114	3.158725883	2.239834779	2.967270496
394171	3.26021086	3.697786027	3.525747835	3.717644357	3.164027424	3.815209153	3.33776136	3.382621863	3.361348496	3.116687341	3.357125959	3.561630098	3.559788978	2.966944328	3.629012181	3.420879314	2.993349129	3.595197397	3.512607225	3.055196391	3.587855277
394172	4.853279252	5.156613945	5.107929279	5.209734914	5.054613537	4.892786845	5.156668638	4.891658428	4.807665007	4.998461113	4.720065256	5.009324648	5.001998492	4.605460736	4.963583516	5.129231234	4.783072536	4.904544708	4.717463592	4.966630118	4.940687346
394174	2.278090944	2.368398194	2.63540731	2.794107674	2.169952161	2.360845869	2.295462555	2.080258059	2.240212809	1.869648282	2.453385088	2.123681331	2.227782795	2.008556005	2.57833482	2.249594052	2.057057198	2.307289174	2.255424404	1.674916244	1.935503018
394176	7.089075694	7.199942906	7.28639367	7.210277465	7.041358211	7.266267409	7.133795015	7.118618851	6.991957996	6.916479997	7.081042308	7.079367515	7.128924764	6.961124972	7.175450796	7.023124395	7.06333071	7.255239063	6.999248917	7.020099979	6.947648942
394177	4.37899914	4.653640293	4.645640237	4.758362532	4.541516621	4.543659292	4.424839736	4.42173982	4.382628597	4.38900669	4.380796899	4.459922858	4.507506661	4.189630156	4.588935317	4.299544443	4.316796785	4.748360766	4.412066475	4.316297712	4.283470814
394178	4.988783968	4.930851736	5.054870137	5.18663963	4.949381833	5.227776784	5.121688332	4.836225768	5.036336959	5.071548839	4.986950946	5.230964374	5.202728292	4.770920659	5.160287585	5.046472119	4.99524833	5.075856141	5.060853115	5.252810624	5.076784708
394181	4.348091909	4.307172708	4.387235136	4.224212758	4.191581821	4.120757516	4.412308365	4.377120397	4.172191204	4.172073732	4.211920955	4.464922861	4.230095644	4.213064098	4.38787724	4.251939654	4.316796785	4.206806177	4.527973768	4.368832774	4.092545884
394182	3.882947827	3.846144394	3.922293785	3.884809115	4.10157189	3.876706958	3.838800019	4.059799827	3.742331946	3.895799401	4.134985287	3.773932885	3.975132923	3.951264322	3.732577886	4.067408547	3.852632113	4.094724327	4.165375773	3.689664682	3.92081932
